zipcode,neighborhood,borough,resilience,popdensity,pd
10001,Chelsea - Clinton,Manhattan,0.870880154,37785.00691,3778.500691
10002,Union Square - Lower East Side,Manhattan,0.862788426,79013.10364,7901.310364
10003,Union Square - Lower East Side,Manhattan,0.875892028,96849.16454,9684.916454
10004,Lower Manhattan,Manhattan,0.861540892,23230.30853,2323.030853
10005,Lower Manhattan,Manhattan,0.877463193,116464.4232,11646.44232
10006,Lower Manhattan,Manhattan,0.876045565,50217.23471,5021.723471
10007,Lower Manhattan,Manhattan,0.875406654,38765.02282,3876.502282
10009,Union Square - Lower East Side,Manhattan,0.869706687,102191.7734,10219.17734
10010,Gramercy Park - Murray Hill,Manhattan,0.875971546,102479.3962,10247.93962
10011,Chelsea - Clinton,Manhattan,0.874757188,76859.8124,7685.98124
10012,Greenwich Village - Soho,Manhattan,0.875001234,70711.80072,7071.180072
10013,Greenwich Village - Soho,Manhattan,0.873567637,51533.13807,5153.313807
10014,Greenwich Village - Soho,Manhattan,0.874731603,59782.88527,5978.288527
10016,Gramercy Park - Murray Hill,Manhattan,0.869513115,98020.3546,9802.03546
10017,Gramercy Park - Murray Hill,Manhattan,0.875100625,45106.10512,4510.610512
10018,Chelsea - Clinton,Manhattan,0.871760089,22932.55625,2293.255625
10019,Chelsea - Clinton,Manhattan,0.871089221,67370.85346,6737.085346
10021,Upper East Side,Manhattan,0.875270563,117628.4619,11762.84619
10022,Gramercy Park - Murray Hill,Manhattan,0.875160626,68186.79409,6818.679409
10023,Upper West Side,Manhattan,0.879001524,114617.499,11461.7499
10024,Upper West Side,Manhattan,0.87636873,70807.36141,7080.736141
10025,Upper West Side,Manhattan,0.871580361,131014.8306,13101.48306
10026,Central Harlem - Morningside Height,Manhattan,0.865647816,96978.33666,9697.833666
10027,Central Harlem - Morningside Height,Manhattan,0.86825931,73368.90086,7336.890086
10028,Upper East Side,Manhattan,0.878253545,132481.7804,13248.17804
10029,East Harlem,Manhattan,0.85724036,93137.56312,9313.756312
10030,Central Harlem - Morningside Height,Manhattan,0.86373123,111625.495,11162.5495
10031,Washington Heights - Inwood,Manhattan,0.85813362,98286.75329,9828.675329
10032,Washington Heights - Inwood,Manhattan,0.853863277,76098.41709,7609.841709
10033,Washington Heights - Inwood,Manhattan,0.85596036,100691.0538,10069.10538
10034,Washington Heights - Inwood,Manhattan,0.858313667,48240.66782,4824.066782
10035,East Harlem,Manhattan,0.851657055,65068.01352,6506.801352
10036,Chelsea - Clinton,Manhattan,0.865162746,69698.10072,6969.810072
10037,Central Harlem - Morningside Height,Manhattan,0.860433076,79354.85763,7935.485763
10038,Lower Manhattan,Manhattan,0.871937967,92543.47585,9254.347585
10039,Central Harlem - Morningside Height,Manhattan,0.863127987,92239.80852,9223.980852
10040,Washington Heights - Inwood,Manhattan,0.849814521,76436.18257,7643.618257
10044,Upper East Side,Manhattan,0.871352328,55085.9213,5508.59213
10065,Upper East Side,Manhattan,0.874679433,71950.24482,7195.024482
10069,Upper West Side,Manhattan,0.871362637,71111.23996,7111.123996
10075,Upper East Side,Manhattan,0.866635084,128987.5996,12898.75996
10128,Upper East Side,Manhattan,0.875805256,148457.9509,14845.79509
10280,Lower Manhattan,Manhattan,0.884469068,118502.6723,11850.26723
10282,Lower Manhattan,Manhattan,0.879647003,103164.4477,10316.44477
10301,Stapleton - St. George,Staten Island,0.839604585,10146.59514,1014.659514
10302,Port Richmond,Staten Island,0.832709481,17014.58514,1701.458514
10303,Port Richmond,Staten Island,0.837455588,9358.593649,935.8593649
10304,Stapleton - St. George,Staten Island,0.832646958,11668.95351,1166.895351
10305,Stapleton - St. George,Staten Island,0.834813296,10688.99252,1068.899252
10306,South Beach - Tottenville,Staten Island,0.830649798,8627.604719,862.7604719
10307,South Beach - Tottenville,Staten Island,0.836291343,9028.761305,902.8761305
10308,South Beach - Tottenville,Staten Island,0.841012219,13112.04621,1311.204621
10309,South Beach - Tottenville,Staten Island,0.834417215,4399.349267,439.9349267
10310,Port Richmond,Staten Island,0.838408883,12411.21125,1241.121125
10312,South Beach - Tottenville,Staten Island,0.83876366,10122.62668,1012.262668
10314,Willowbrook,Staten Island,0.838411036,5281.595662,528.1595662
10451,High Bridge - Morrisania,Bronx,0.842997613,46366.31914,4636.631914
10452,High Bridge - Morrisania,Bronx,0.841457915,76354.71138,7635.471138
10453,Crotona - Tremont,Bronx,0.843512608,88480.54294,8848.054294
10454,Hunts Point - Mott Haven,Bronx,0.84534081,33398.2576,3339.82576
10455,Hunts Point - Mott Haven,Bronx,0.8451713,58930.7534,5893.07534
10456,High Bridge - Morrisania,Bronx,0.852767803,86356.55928,8635.655928
10457,Crotona - Tremont,Bronx,0.846830059,55419.86448,5541.986448
10458,Fordham - Bronx Park,Bronx,0.850068867,66365.42626,6636.542626
10459,Hunts Point - Mott Haven,Bronx,0.843566838,60304.62867,6030.462867
10460,Crotona - Tremont,Bronx,0.846589185,47132.20706,4713.220706
10461,Pelham - Throgs Neck,Bronx,0.836583317,22051.38053,2205.138053
10462,Pelham - Throgs Neck,Bronx,0.845911196,39811.50967,3981.150967
10463,Kingsbridge - Riverdale,Bronx,0.849784176,54032.08311,5403.208311
10464,Pelham - Throgs Neck,Bronx,0.85025766,1656.549258,165.6549258
10465,Pelham - Throgs Neck,Bronx,0.839780921,11229.52816,1122.952816
10466,Northeast Bronx,Bronx,0.847382452,37857.27529,3785.727529
10467,Fordham - Bronx Park,Bronx,0.842804503,40714.52963,4071.452963
10468,Fordham - Bronx Park,Bronx,0.838080124,63841.95073,6384.195073
10469,Northeast Bronx,Bronx,0.841557665,29659.60626,2965.960626
10470,Northeast Bronx,Bronx,0.843338517,20338.51795,2033.851795
10471,Kingsbridge - Riverdale,Bronx,0.844501326,6972.844939,697.2844939
10472,Pelham - Throgs Neck,Bronx,0.846851693,61181.90223,6118.190223
10473,Pelham - Throgs Neck,Bronx,0.842023618,27906.53248,2790.653248
10474,Hunts Point - Mott Haven,Bronx,0.852137117,8360.411828,836.0411828
10475,Northeast Bronx,Bronx,0.846449088,30899.92144,3089.992144
11004,Southeast Queens,Queens,0.85417917,18619.94289,1861.994289
11102,Long Island City - Astoria,Queens,0.855407538,43384.34546,4338.434546
11103,Long Island City - Astoria,Queens,0.861272489,49625.21098,4962.521098
11104,Long Island City - Astoria,Queens,0.860893243,57940.52323,5794.052323
11105,Long Island City - Astoria,Queens,0.864971438,21130.71402,2113.071402
11106,Long Island City - Astoria,Queens,0.86022582,44028.83754,4402.883754
11109,Long Island City - Astoria,Queens,0.871187172,88080.05481,8808.005481
11201,Downtown - Heights - Slope,Brooklyn,0.876819501,42997.53032,4299.753032
11203,East Flatbush - Flatbush,Brooklyn,0.855447691,34978.24314,3497.824314
11204,Borough Park,Brooklyn,0.848747202,48901.01188,4890.101188
11205,Downtown - Heights - Slope,Brooklyn,0.866993778,56122.67025,5612.267025
11206,Williamsburg - Bushwick,Brooklyn,0.860248931,60569.08333,6056.908333
11207,East New York,Brooklyn,0.851755236,34331.78887,3433.178887
11208,East New York,Brooklyn,0.84659028,35617.59414,3561.759414
11209,Bensonhurst - Bay Ridge,Brooklyn,0.860583949,32670.92947,3267.092947
11210,East Flatbush - Flatbush,Brooklyn,0.853706773,37648.1996,3764.81996
11211,Greenpoint,Brooklyn,0.859355701,71040.43997,7104.043997
11212,Bedford Stuyvesant - Crown Heights,Brooklyn,0.850818621,50220.67506,5022.067506
11213,Bedford Stuyvesant - Crown Heights,Brooklyn,0.857910348,63093.41567,6309.341567
11214,Bensonhurst - Bay Ridge,Brooklyn,0.857567461,42275.95778,4227.595778
11215,Downtown - Heights - Slope,Brooklyn,0.880231405,31459.4714,3145.94714
11216,Bedford Stuyvesant - Crown Heights,Brooklyn,0.871254613,60845.21983,6084.521983
11217,Downtown - Heights - Slope,Brooklyn,0.873093789,53849.68323,5384.968323
11218,Borough Park,Brooklyn,0.855772795,54758.34568,5475.834568
11219,Borough Park,Brooklyn,0.846122955,59321.45309,5932.145309
11220,Sunset Park,Brooklyn,0.8549577,54739.14371,5473.914371
